Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese

isiArmorDescription,items,item,,,A bundle containing the title armor and some useful mods,,,,,,,,,,,,,

isiPrimitiveArmorBundle,items,item,,,ISI Primitive Armor Bundle,,,,,,,,,,,,,
isiLumberjackArmorBundle,items,item,,,ISI Lumberjack Armor Bundle,,,,,,,,,,,,,
isiPreacherArmorBundle,items,item,,,ISI Preacher Armor Bundle,,,,,,,,,,,,,
isiRogueArmorBundle,items,item,,,ISI Rogue Armor Bundle,,,,,,,,,,,,,
isiAthleticArmorBundle,items,item,,,ISI Athletic Armor Bundle,,,,,,,,,,,,,
isiEnforcerArmorBundle,items,item,,,ISI Enforcer Armor Bundle,,,,,,,,,,,,,
isiFarmerArmorBundle,items,item,,,ISI Farmer Armor Bundle,,,,,,,,,,,,,
isiBikerArmorBundle,items,item,,,ISI Biker Armor Bundle,,,,,,,,,,,,,
isiScavengerArmorBundle,items,item,,,ISI Scavenger Armor Bundle,,,,,,,,,,,,,
isiRangerArmorBundle,items,item,,,ISI Ranger Armor Bundle,,,,,,,,,,,,,
isiCommandoArmorBundle,items,item,,,ISI Commando Armor Bundle,,,,,,,,,,,,,
isiAssassinArmorBundle,items,item,,,ISI Assassin Armor Bundle,,,,,,,,,,,,,
isiMinerArmorBundle,items,item,,,ISI Miner Armor Bundle,,,,,,,,,,,,,
isiNomadArmorBundle,items,item,,,ISI Nomad Armor Bundle,,,,,,,,,,,,,
isiNerdArmorBundle,items,item,,,ISI Nerd Armor Bundle,,,,,,,,,,,,,
isiRaiderArmorBundle,items,item,,,ISI Raider Armor Bundle,,,,,,,,,,,,,

isiMeleeModsBundle,items,item,,,ISI Melee Mods Bundle,,,,,,,,,,,,,
isiMeleeModsBundleDescription,items,item,,,A bundle containing all melee mods,,,,,,,,,,,,,

isiRangedModsBundle,items,item,,,ISI Ranged Mods Bundle,,,,,,,,,,,,,
isiRangedModsBundleDescription,items,item,,,A bundle containing all ranged mods,,,,,,,,,,,,,

isiMeleeWeaponDescription,items,item,,,"A bundle containing the title weapon, related perk books, and some useful mods",,,,,,,,,,,,,

